id,target
36a382475b,1
66b420a61b,1
104a3b1e1c,0
14640b4421,1
50313198b8,0
500a7e25b9,1
fb505302b9,1
a157a8e879,1
e466219d95,0
5c8c344eba,1
834d7b3aea,1
da9a678ab9,0
17aa8c70b4,1
a75b920aa8,1
0a4861c5ed,1
f929559c04,0
a444bebb0f,0
6249405de4,1
951d746b13,1
a199f00329,1
ae9edb3aec,0
6c062cdd88,1
0ffc208548,1
b8a1c8b1d1,1
7c4ffc53c2,1
6d8d1a6a42,1
815a644b59,0
29cf0284cf,1
b077f1c205,1
ad8bb3f1ab,1
7580073f3d,1
c33ef5b9c0,1
fd71d34548,0
30042cef6e,1
9a2b5cd5a5,1
66414a3edf,1
1099c0ff22,0
d63c2d9107,0
a67232bddd,0
a4b122bce2,1
611b70a502,1
2889ef3064,0
772ac9c8bf,1
c12e8c3cc0,1
74edbd0a6e,1
980588ddba,0
17025911e2,1
40c632ab94,0
57c5119aeb,1
de689a9538,0
f3208124f7,0
54826131f8,0
285df800d1,0
4cc31c1b1d,0
34bb418d33,1
ea6a4fad4f,1
08f86dc893,1
ef8540bb47,1
451a96283a,1
a3e044155f,0
598e4d4823,0
ad971d212c,1
10ab6fb211,0
01a256353c,0
78954bc2f9,1
7747c49c94,0
5afb4d5582,0
340471c031,1
55888e711a,1
100693142e,0
39c491ac8c,1
361be27cc4,1
4ddc6edb72,1
fbc7b329e5,0
290d03802f,0
e5185758fc,1
12acab7a1b,1
9c03f23ed1,0
1828efdd3f,1
5e02262937,0
f9706369d9,0
89ec748867,1
7cff23d012,0
6c781005a6,1
f4cab600d9,1
d713e6cc33,0
bc5b6f4205,1
392a16ff29,1
f3dbd9eaaa,1
2ae6fbf5c6,1
c2d3992fd1,1
c44e4057ad,0
f7078b8430,0
c26f91fd54,0
55fc2d4817,0
9878db734b,0
e3e54105ff,1
031d229286,0
783f224de3,0
c8884b0241,0
0b0d1c3c84,0
8594b97e37,0
b108e6faae,1
98d7f1f309,1
506e609eb8,1
56354ef2a1,0
c9b3ebcb6b,0
36d6fad952,1
c8f58dbb69,1
de7c489259,0
283d3eca0a,0
3907537fc0,1
99ac38e2a6,1
5e42473d3c,1
3501761c72,0
39a4039c8c,0
19ff2f3dad,1
1f9c44c95c,0
f34ebbfbf4,1
bc05e71655,0
