id,target
09d9862f8f,1
3d38acac4b,0
40b2d4f50e,0
deb644db78,1
a8c08184ef,1
90029365c9,1
54ad8ca405,1
010d04eaa8,1
626e8f7cc5,1
81badca2c0,1
cd3d0d3796,1
3943dff5f6,1
7059eda37d,1
b43aad9b58,1
1f9c44c95c,0
8df6632278,0
e67aee6fc8,1
0fdfd04474,0
0e6a99e921,1
1dee42f197,1
54c8cd866a,1
d21e573214,0
7a6a0b4b9a,1
4363562555,1
ff67cc06db,0
258b766e33,1
ec03a0253f,0
d844b6b70c,1
145011202e,0
cf29b731ed,1
93ecae3105,1
4788f8141d,1
2f262330ed,0
08ffe3a4de,0
9268080ded,1
4f02b90c56,0
101f3e65ea,0
4b7ce9c81e,0
697376fd53,0
96c517899c,1
82b9170d65,0
f9e6a63acf,0
1c805c292e,1
4812b22e7d,1
8bc3bb7151,1
7dc7f09ce5,0
73840dda90,0
d3dba68b17,0
901f56e000,0
89aa700c25,0
00044e738f,0
3e2cc405f9,0
3907537fc0,1
ab87df2163,0
a157a8e879,1
e5adcb4318,0
bcdfd74694,1
eaf4da1cf2,1
9665f476af,1
317a9971e0,0
2a7ff80ebe,1
93f9f80900,0
4f03f84ee8,0
daff659001,0
dace68bc9c,1
60a84605d6,0
570aa64785,0
30794b629e,1
cb5dbda8fc,0
97eb56bab6,0
422ae5b704,1
c12e8c3cc0,1
0e9512b123,1
17ff14f0e7,1
fb5596c53c,1
8fa88f340b,1
8117c541b2,1
15d47a8bed,0
fb4ca6268c,0
1959455188,0
be890edd44,0
60c177c6d2,0
6228ee43c4,0
8b9490e946,1
20df2b054a,0
66242da6b4,1
04518ec730,1
79f9f878ed,1
181c287e00,0
ed3252ad3a,0
49c812c9f3,0
a438292626,1
5345a029a9,1
e672714b7c,1
99afa5f9f1,1
2c54f668d4,0
aedff14cdf,0
5845a89ab5,0
1af6ff5143,1
c4b140408d,1
59be6b2184,1
b83a135d09,1
485e66fee4,1
c5737f1e25,0
b0e41feb1b,1
c864eaf1b5,1
18c5c8ceca,1
88c266ef7d,1
5168f92146,0
92b6f9fadf,1
93efb52da0,1
f93f21fa8c,1
f0243f7638,0
64c1ad8773,1
5235aacc91,1
5d274ca9a3,0
6d7501b2f8,1
ec1212d1e1,1
b8fd7423ea,1
8a96d41ee6,1
e103aa1724,1
32fc393744,1
a787736647,0
5d42f2fb60,1
2c88635509,1
2d4e538ba9,0
15fe18a8b1,1
ed54ea7baa,0
9878db734b,0
ec0fd14739,0
02e57f7fcf,0
3e22a81305,0
4a836e0aee,1
175ee1c844,1
1cbcc41b09,0
96b86537cb,0
9d55b3426f,0
02bc551e5f,0
9a2b5cd5a5,1
0b791efa32,1
9ebb72d8ee,0
12a53774c2,0
6b6ab11b90,0
0b0d1c3c84,0
e8a036f16a,0
19c01a9715,0
ba13707543,0
7e239f316f,0
c279d29178,0
82e559751a,0
78623b6408,1
8cae5361ff,0
2c919f659f,0
f9706369d9,0
bed35e1f15,1
ea48341c41,1
4829f13a7e,0
1fbd07ceb2,0
1835a133da,0
5e42473d3c,1
6350675a78,1
7507ca7608,0
5f860f9453,1
bfc4d23967,1
90990d4bf5,1
d697c2d002,0
1f63294829,1
a2ccf8c813,1
47e11f2af2,0
f035284b7e,1
9eeb84e8db,0
ede45d6c16,1
e703ab8130,0
2825855d04,0
96548b5df8,1
32b2d56bdd,0
2f7c8b00a5,0
b5ecb79d74,0
898018242e,1
a82f14d8f0,1
d6f3f5990a,0
60e3c8a356,0
6a39347107,1
f8b73ee46f,1
fcaa53828b,0
533e366370,0
10c68a1874,0
682f2ddf92,0
ad333a84e4,1
5c47e68589,1
3f17ac0c90,1
24e32d151f,0
9b0765dac9,0
1f89f957da,0
b908bd57ad,1
e7c3395ca3,1
86437ec3f0,1
386c1461f2,0
e6b12657f9,0
18a8e72ef7,0
4a1b699c9f,0
f2f5cb7ef0,1
30ada13582,0
bea1e16b87,0
2407dca60f,0
489cb852b1,1
88d3fa2ada,1
0b7af69c99,0
b0be38259a,0
07dfc0dfd7,1
5a76192cd3,0
3ae89c40b1,1
32bc80c507,0
afdb441c17,1
54826131f8,0
4afe1cd8e3,1
c59f9a815a,0
cb7c944cb9,1
ab4acecbd7,0
70e969a84a,1
25c42a39c0,1
ef4f69fb45,1
cad9c83867,0
f7078b8430,0
a5849695c7,1
1e9b4d11ca,0
df88c0e7c5,0
8d9707ce3d,0
6c23048eac,1
139730a324,1
94f8aa45fd,1
02667f106f,0
6c0ec28ce0,1
163d9f074c,0
2dde949100,1
fdf101df6e,0
abb318b80b,0
e095f5b783,1
a4822adfac,0
b6e424840c,0
8fc0501cb4,1
39a0b4b5ca,1
ccc77d81b5,0
ce6d9ac126,0
